Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,is,phil,bill,ahmed,mandarin,proclamation,germination,shah,oswald,villeneuve,ord,intellect,cloud,abbeville,transit,rail,mlle,school,essences,film,vatican,world,stage,options,performance,human,mail
1,may,collection,soc,contemplation,ind,fayette,turneps,croup,vernon,gazette,manifestation,corporations,eminence,contingent,technique,assimilation,importations,prestige,coke,devises,clan,history,significative,sites,policy,model,marketing
2,more,ly,titus,assertion,lise,populace,mucus,accumulation,amy,oberlin,engagements,spectre,russell,mac,ferry,aluminium,paine,aviation,occupant,goethe,glucose,most,development,political,motivation,serge,massive
3,if,pyrrhus,pantomime,dialogues,kin,colombine,poignard,sodium,nouv,sollicitude,exclusive,monk,rabelais,granville,suggestion,chicago,marks,publie,sanctions,radio,roosevelt,value,studies,option,issues,soviet,bush
4,do,rural,plantation,sensitive,deo,insurrection,lusignan,atlas,mareschal,populations,torrents,prescriptions,emp,projectile,allure,affirmation,tonnage,grey,einstein,circuits,ass,identification,irak,illustration,implications,european,accessible
5,part,darius,plants,instincts,bertram,elytra,citation,texture,party,intelligences,nabob,conceptions,schiller,correspondent,-,colonial,trust,times,effective,stable,fluctuations,report,kennedy,interaction,management,sade,women
6,joseph,bacchus,incidents,brutes,christi,fontenelle,poussin,locale,admiral,tantum,kant,circuit,progressive,mercy,-,locomotive,trusts,mun,swift,library,state,duns,site,dollar,west,patrick,adolescents
7,justice,support,fuppofe,district,fons,dubois,fox,apparition,grisons,species,industries,aptitude,silex,quinine,-,collective,arthur,prorogation,daily,museum,standard,iran,migrations,continental,francis,leaders,chaos
8,possible,parents,ballet,pond,caresses,quakers,apollonius,bruce,piedmont,franks,oure,intense,international,alfred,-,calcium,ions,hostile,immigration,butler,churchill,see,just,nixon,bp,interactions,stress
9,sit,dissimulation,buckingham,bayard,scot,penn,lots,tangent,subject,door,intuition,ramus,trains,phase,-,stade,trib,stocks,university,initial,should,study,johnson,migration,well,interview,windows
10,jerusalem,monuments,bran,mirza,fenfations,anecdotes,publications,gale,effect,een,concept,shakspeare,wagons,altitude,-,techniques,published,taxation,shakespeare,coefficients,high,society,sport,colin,leader,configuration,cognitive
11,david,tryal,hermione,arrests,inftant,violation,cessation,anecdote,edict,documents,rails,commercial,multiples,exploration,-,-,cases,capture,young,shelley,og,research,rites,impact,laser,citations,business
12,ave,natures,cadence,revision,mde,michael,notification,shakespear,fault,chance,troubadours,peel,-,-,-,-,play,lloyd,conversations,coordination,either,water,pollution,language,peter,internet,festival
13,simon,sculpture,reminiscence,lieutenants,fanny,vote,bolingbroke,armistice,president,prostitution,allusion,suicide,-,-,-,-,aspects,restrictions,rev,sanguine,territories,textile,-,formulation,benjamin,appropriation,adolescent
14,lie,fumes,attitudes,flagrant,borax,burke,jay,strata,response,constantine,clubs,mill,-,-,-,-,james,organisations,salisbury,frs,agreement,patient,-,analysis,both,hubert,health
15,jesus,solon,bruyere,pigeons,tzar,abdication,figaro,fractures,lords,hamza,rollin,manifestations,-,-,-,-,-,wagon,-,comparable,presses,rec,-,theory,order,messages,module
16,place,lure,rofe,excusable,novogorod,expansion,tannin,harmonies,fist,kil,votes,-,-,-,-,-,-,american,-,united,contracting,unesco,-,estaing,century,football,interface
17,sent,spectacles,lean,homicide,beaumont,nominal,-,doctrines,promulgation,regis,colonisation,-,-,-,-,-,-,reconstruction,-,states,christophe,participants,-,client,however,-,restaurant
18,present,crystal,pitt,concil,warwick,outrages,-,chances,froissart,sibi,renaissance,-,-,-,-,-,-,-,-,foreign,mass,discrimination,-,review,-,-,-
19,face,portraits,promise,prosession,ascendant,tribunes,-,transmission,dimension,-,condorcet,-,-,-,-,-,-,-,-,chamberlain,films,uranium,-,economic,-,-,-
20,service,gloucester,charlotte,collections,administrations,syracuse,-,pucelle,-,-,inspirations,-,-,-,-,-,-,-,-,changes,nazis,disciplines,-,performances,-,-,-
21,confession,perspective,stanley,hard,howe,massacre,-,rajah,-,-,-,-,-,-,-,-,-,-,-,tax,contacts,corrosion,-,sports,-,-,-
22,satisfaction,net,mohammed,concubines,dod,assassins,-,fust,-,-,-,-,-,-,-,-,-,-,-,phosphates,catastrophe,argumentation,-,oxford,-,-,-
23,nations,ny,weser,concubine,hall,coalition,-,administrative,-,-,-,-,-,-,-,-,-,-,-,-,judith,cycles,-,carter,-,-,-
