Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,was,most,mariana,law,hamilton,goethe,rate,croup,cic,commissions,subjeet,york,ralph,erasmus,capponi,suggestion,duns,more,offensive,information,churchill,cambridge,studies,published,dilemma,women,performance
1,be,triumph,casse,journal,magistrate,lt,tie,peritonitis,orat,rb,concrete,report,shakespeare,materials,cells,been,motor,other,line,united,forest,chicago,political,people,top,interviews,windows
2,all,proclamation,soft,sterling,expedition,th,medicinal,processes,english,positives,vizier,logos,thorax,percent,contact,stanley,phase,part,dollar,library,blockade,foreign,einstein,parameter,marketing,irak,south
3,will,dublin,clarke,species,patents,objects,sees,catarrh,tac,intuition,algier,hudson,states,details,potential,cement,symptom,had,hobbes,first,service,henry,dt,engagement,carter,common,class
4,see,bring,grandison,million,trunk,problem,yon,ray,oval,genesis,theon,lowe,gluck,combination,imperium,pyrrhus,problems,some,government,very,hotel,libraries,kennedy,business,high,films,manager
5,men,pius,orestes,thee,subaltern,mechanism,rates,museum,iran,bill,jordan,weltanschauung,sicut,caution,lumen,regeneration,mod,emil,university,great,jan,korea,labour,city,century,community,knowledge
6,mr,generals,collegii,barren,iar,speculation,bristol,oct,meteor,verbum,committee,ross,carey,dickens,nat,thallus,prostitution,james,would,lists,stalin,hamlet,interview,language,software,standards,technology
7,vol,parallel,magazine,japan,renaissance,phi,manchester,shakspeare,turner,nobis,protest,concil,chloroform,shakspere,infection,frs,referat,american,area,depression,gau,abs,commonwealth,motivation,nuclear,model,gender
8,lie,basis,temperament,guineas,ideal,philosophic,birmingham,ligamentum,oratio,objeet,gracchus,retina,doll,abu,pigment,rot,alfred,international,reflex,history,radio,theory,memorandum,essays,because,market,team
9,rom,bank,are,faule,rhe,faft,faustus,alkohol,continental,uniform,pollen,constant,clive,compensation,-,college,-,walter,film,made,cases,ing,policy,politics,essay,migration,value
10,such,warn,ord,capital,ors,foil,liverpool,dictator,interpretation,haw,-,-,complex,soc,-,society,-,phil,can,life,condillac,zk,use,ebd,elite,know,server
11,just,phy,isaac,alien,synthesis,admirals,geron,repulsion,monument,byron,-,-,moliere,index,-,company,-,grey,economic,trusts,blood,integration,human,trend,culture,rights,school
12,altar,administrator,arch,beauclerk,hirzel,columbus,amadeus,bot,caesar,wallenstein,-,-,js,times,-,-,-,edward,time,investment,vision,aid,mdn,nixon,design,bgh,word
13,matt,republick,respect,police,one,hastings,spiritus,vitellius,budget,kil,-,-,-,baer,-,-,-,arthur,only,inland,dramas,press,dialog,soviet,many,internet,training
14,wall,proportional,edict,manna,boston,fuss,effect,camillus,generation,-,-,-,-,degeneration,-,-,-,shaftesbury,two,roosevelt,nazis,study,kp,department,-,now,services
15,salve,sion,benjamin,edition,howe,montezuma,accent,otho,ruth,-,-,-,-,consular,-,-,-,export,div,present,winterthur,order,party,intensive,-,own,learning
16,name,pers,rachel,oedipus,author,befallen,cyrene,jury,abg,-,-,-,-,-,-,-,-,abbe,-,should,block,trade,argumentation,verb,-,music,security
17,say,china,cornelius,pulses,gates,thesis,park,direct,elisa,-,-,-,-,-,-,-,-,prometheus,-,german,sappho,property,education,manifest,-,economy,level
18,must,plutarch,comet,theodosius,arnold,rationale,stadium,extreme,stade,-,-,-,-,-,-,-,-,petroleum,-,british,nazi,modern,growth,could,-,place,based
19,end,alexandria,esau,pedant,clinton,moment,tiberius,listen,phthisis,-,-,-,-,-,-,-,-,-,-,germany,terror,nations,economics,way,-,option,controlling
