Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,be,mail,rex,amelia,hobbes,fund,weishaupt,service,ossian,pekin,gay,mod,decr,lev,ing,elisa,elias,shakespeare,lloyd,shelley,united,were,dewey,analysis,design,william,business
1,all,feme,miles,dial,jerusalem,sess,knigge,plutarch,abu,kil,fust,tip,rate,fauna,spencer,ric,california,capsula,mac,diffuse,roosevelt,been,bertoni,most,century,peter,software
2,is,retina,filio,associate,cervantes,wall,hunter,ports,ebn,reid,dalton,-,doe,journal,hume,was,baccelli,agr,sett,kw,soc,american,study,italian,both,richard,partner
3,one,immediate,omne,ape,corneille,hor,dav,perception,omar,kant,vapor,-,chil,app,sanctis,operation,radio,giordani,sidney,trust,australia,may,studies,see,museum,use,marketing
4,are,dl,fent,soft,immense,pitt,street,napoleon,ibrahim,-,pom,-,revel,nelson,race,emma,infantile,carcinoma,tj,published,grey,other,very,leader,computer,made,performance
5,more,galileo,bone,mecca,ball,lady,villers,salse,ahmed,-,stamp,-,-,gneiss,locomotive,act,marcella,wilson,government,publisher,trim,div,economic,schelling,sport,life,server
6,if,ago,quote,memoranda,magni,miss,gk,simp,imam,-,descartes,-,-,-,bill,culex,goethe,sancte,bhl,apr,pad,will,would,carter,mass,european,manager
7,do,tl,ofa,concil,cid,lidy,mk,volcano,jaafar,-,-,-,-,-,-,-,elevate,lords,hotel,film,some,only,system,review,city,building,welfare
8,can,determinate,attone,tributum,chief,diodati,nk,croup,haydn,-,-,-,-,-,-,-,-,cic,international,lupus,herbert,production,theory,work,architecture,chicago,iraq
9,men,cf,presbyter,germanica,clean,eloisa,israel,indigo,hassan,-,-,-,-,-,-,-,-,italy,red,-,flg,had,development,different,-,internet,human
10,part,introduce,jacobus,temporal,canaan,gaz,arch,budget,trib,-,-,-,-,-,-,-,-,lt,brig,-,marshall,any,world,-,-,information,bush
11,sit,mill,fee,irene,ipsa,xvn,melon,libraries,lav,-,-,-,-,-,-,-,-,-,-,-,stalin,such,possible,-,-,management,leadership
12,ah,mamma,procure,valeria,incas,ruggier,capponi,stanford,medusa,-,-,-,-,-,-,-,-,-,-,-,-,research,same,-,-,age,database
13,state,zeno,cost,forgive,commend,bradamante,locke,murex,timur,-,-,-,-,-,-,-,-,-,-,-,-,two,trade,-,-,-,michael
14,ave,violate,collegii,gracchi,script,firm,oo,buccinum,law,-,-,-,-,-,-,-,-,-,-,-,-,first,deficit,-,-,-,book
15,nobis,venture,tabulae,condillac,musculi,sade,servile,crete,miserere,-,-,-,-,-,-,-,-,-,-,-,-,dryden,society,-,-,-,stress
16,dt,remote,tabula,arcadia,franklin,decade,nations,baretti,-,-,-,-,-,-,-,-,-,-,-,-,-,ult,-,-,-,-,court
17,christi,cornaro,regii,stabat,john,positive,secret,smith,-,-,-,-,-,-,-,-,-,-,-,-,-,time,-,-,-,-,dna
18,cor,scale,scene,solem,history,casse,dae,population,-,-,-,-,-,-,-,-,-,-,-,-,-,significative,-,-,-,-,-
19,vol,zara,sir,lulli,press,got,productions,say,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,hi,freind,standard,princip,moliere,gibbon,agriculture,young,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,set,mr,sent,aorta,liquor,explicit,prose,oa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,five,verum,lise,accuse,shakespear,macdonald,furioso,cleopatra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,pater,ki,assume,planet,orchestra,fog,punctum,ramusio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,tibi,cur,prov,scc,fontenelle,mess,distantia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,deo,king,lett,merope,alceste,jenson,puncto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,tantum,ye,concrete,sardinia,medea,aliene,secunda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,net,end,preside,walsh,russia,species,boston,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,quoque,mortis,locale,gru,calvert,club,howe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,promise,mortem,contemplate,ind,semiramide,capital,hudson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,regina,fratres,curriculum,sancta,persia,cosmo,guide,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,credo,hy,sportive,seq,silvia,equi,gates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,sincere,manila,legislative,sanctum,circe,-,hill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,semper,imposture,successive,isabella,siberia,-,arnold,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,prove,honourable,compensate,hip,pocock,-,clinton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,nunc,mv,odor,jd,sis,-,estaing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,tuam,excellency,almo,eden,nostrum,-,add,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,totum,pf,plant,ales,emir,-,beat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,go,fave,induce,cambridge,aly,-,charlestown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,oh,hf,lord,chalons,decide,-,greene,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,op,sf,james,emanuel,suae,-,sullivan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,caesar,td,york,burgoyne,factum,-,rodney,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,bell,gd,canada,filature,seraglio,-,ticonderoga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,mea,qr,churchill,confederate,frasi,-,cornwallis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,verbo,hp,town,mariana,herbelot,-,tarleton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,vote,chin,sound,ariosto,creditor,-,justice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,ode,ly,omnis,orat,sententiam,-,police,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,care,china,carolina,march,oxford,-,bulletin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,none,evangelii,virginia,milton,fatima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,tuo,university,maryland,robertson,pamela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,continue,london,fertile,torquemada,caulis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,tuum,fons,philadelphia,splendor,araminta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,produce,minute,delaware,nov,suum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,persuade,verb,connecticut,tasso,professor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,dispose,tis,plymouth,nugnez,collect,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,prest,unus,walter,-,allah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,impose,triumph,card,-,musa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
