Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,be,ah,dominum,adam,personages,credit,aly,wellesley,ahmed,did,neutral,emir,prim,revision,australia,wall,vial,miller,james,oil,roosevelt,london,kennedy,oe,world,bush,other
1,is,vote,corporis,sup,davis,manila,incas,chace,omar,laertes,aponeurosis,hor,kant,yucatan,oral,brothers,mex,fauna,hotel,goethe,health,truman,nuclear,development,reagan,history,marketing
2,do,juxta,german,casar,facia,labyrinth,incomprehensible,cables,ped,napier,inguinal,prov,montserrat,byron,walker,montejo,reeve,monroe,hh,standard,sterling,unesco,medieval,economic,-,studies,peter
3,amen,prest,mithridates,guillen,christus,surd,cinaloa,adhesion,inversion,lothario,caupolican,elisa,fatima,pall,sent,club,company,john,parry,martyn,blest,benefactor,library,nixon,-,review,digital
4,has,virginia,cinna,bell,grant,dyspepsia,combustible,acer,jury,lamas,mandarin,aud,law,abigail,-,machines,-,university,editorial,shakespeare,similar,azar,oscar,marginal,-,cambridge,irak
5,go,fir,mss,voltaire,levi,cable,preceptor,blake,rival,gal,lozano,jud,gay,united,-,all,-,american,plagas,depart,cordial,press,juvenil,conceptual,-,clinton,software
6,can,cometa,nil,face,phocion,retina,iman,americas,dial,trib,-,musical,amanda,states,-,have,-,wilson,-,natal,william,-,johnson,-,-,one,virtual
7,men,oratoria,acres,decide,focal,vales,brown,moscow,croup,vill,-,tetuan,seward,cost,-,will,-,-,-,continental,international,-,-,-,-,state,study
8,part,peculiar,cur,lock,tob,cebes,lesion,emp,oliver,orchestra,-,kil,mortimer,-,-,sim,-,-,-,vacuum,genial,-,-,-,-,internet,human
9,joseph,ufe,vapor,ome,maimonides,insignia,phil,price,vertebral,shall,-,-,ministerial,-,-,miles,-,-,-,-,define,-,-,-,-,society,management
10,possible,dido,mun,trial,sepher,lovelace,lop,boards,pinel,hill,-,-,lamentable,-,-,mac,-,-,-,-,-,-,-,-,-,chicago,-
11,david,ado,homes,anathema,robertson,boscovich,york,meade,gall,motor,-,-,-,-,-,lincoln,-,-,-,-,-,-,-,-,-,richard,-
12,ave,inspector,here,use,isaias,cook,rush,weishaupt,sect,convoy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,mail,-
13,dt,abra,home,grew,jose,orat,resol,knigge,salvage,macdonald,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,agn,-
14,cor,ceremonial,actor,orestes,senecas,leicester,napoleon,condorcet,new,capital,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,hi,rege,tutor,divisor,ordo,booth,medicinal,irreligion,peritonitis,seq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,lie,quae,debates,urethra,dha,coral,maternal,hydrocele,blair,suet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,error,any,ugarte,bacon,conductor,eumenes,inevitable,perceptible,tlascala,lafayette,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,jesus,just,ly,age,alarcon,territorial,extensor,fayette,fills,yr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
