Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,son,buffon,avis,bonnet,croix,combustion,adj,malek,alumine,talleyrand,sch,hallucinations,droit,bronze,spores,cadet,lucien,plateau,volts,bourgeois,installation,diffusion,syndrome,user,expertise,reporter,infrastructure
1,cause,leurs,osman,pensions,gorges,constantius,pauline,adhel,publique,huguenots,aff,beaumarchais,phys,brevet,offense,monseigneur,chateau,phases,-,dupleix,sulfate,optimum,adaptation,allocation,perspectives,graduation,photos
2,paul,cette,sel,concessions,acadie,valens,quentin,sax,quintius,francs,bordeaux,montaigne,-,merc,-,michel,arrange,initiative,-,concepts,transformer,-,excitation,photo,complications,nc,-
3,est,toutes,mem,wiry,colleton,zinc,raoul,saladin,-,inf,document,-,-,salle,-,glacier,duc,oxidation,-,bourgeoisie,tsar,-,vietnam,clients,complexes,interventions,-
4,met,ces,eur,vagina,promptitude,cobalt,telle,piastres,-,formations,sympathies,-,-,-,-,luy,mus,munitions,-,jules,routes,-,gaulle,diagnostic,menu,lab,-
5,saint,mais,caroline,dot,clauses,confiscation,ane,dist,-,-,-,-,-,-,-,-,congo,menace,-,cultures,caste,-,viet,global,documentation,-,-
6,religion,aux,louise,comp,attentions,fubftance,biron,ete,-,-,-,-,-,-,-,-,concentration,-,-,-,lanier,-,-,placement,technologies,-,-
7,france,homme,guise,aie,craven,vassal,plut,onc,-,-,-,-,-,-,-,-,-,-,-,-,amplitude,-,-,couples,consensus,-,-
8,thomas,ont,prise,sinus,foliis,obfervations,oxide,bouillon,-,-,-,-,-,-,-,-,-,-,-,-,orientation,-,-,-,soviets,-,-
9,point,tous,aliment,grasse,reaumur,calcination,vaccine,mazarin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,paris,fait,inoculation,eclipses,eu,furface,pact,prairie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,public,toujours,dauphin,lobes,prop,adv,fleury,germ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,force,bien,descendant,pubis,mp,werner,vaillant,chlorine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,sire,vie,blanche,cancer,bec,mutation,marius,opaque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,question,autres,fortification,occipital,cp,sensibles,lucullus,nitrate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,mere,forme,palatine,simples,acad,lisette,metellus,oxides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,fort,histoire,aliments,ganglion,ks,intelligibles,partisans,phosphate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,union,deux,herb,ligament,tournefort,niches,buonaparte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,ic,quand,lions,fraction,efl,subsistent,porte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,gens,jamais,obstructions,cartilage,tk,volutes,muriate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,fur,donc,environs,quotient,conserve,financier,carbonate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,conditions,tems,bourbon,glands,abcd,spec,humboldt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,port,tant,sera,insertion,fd,synagogues,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,pont,lieu,feu,cartilages,bg,aura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,fig,ici,pension,ramifications,acb,exp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,canon,maine,br,fractions,eveque,florins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,base,roche,fusion,multiplier,dg,cordage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,nature,animaux,denys,coefficient,abe,noir,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,air,fans,cromwel,gland,ax,necker,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,six,membrane,hymen,anus,hl,robespierre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,occasion,fins,trajan,capsule,cv,pelew,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,opinion,lime,corrections,apophyses,quadruple,wolmar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,prince,contraction,sonnet,larynx,fis,sortune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,camp,limon,lecteur,rectum,rectangle,jacobins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,possession,systeme,ifle,orifices,syst,lon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,nation,fes,gentils,duodenum,complement,hayes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,action,fibres,fage,frontal,bale,lac,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,passage,bans,bucer,pans,pofition,lames,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,charge,sections,benefice,interstices,rectangles,machiavel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,monsieur,mariages,ufage,closen,solutions,certaine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,figure,muscle,tance,phalanges,ichneumon,latine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,jl,peres,subtil,partition,doubles,bibliotheca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,section,irritation,scriptor,jc,coralline,roland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,office,liqueur,ration,danube,fructification,mirabeau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,empire,filaments,protestation,benefices,polype,sennaar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,amiens,fidele,prescription,batteries,calyce,atmofphere,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,suit,enfans,potion,aide,inflammations,rhodes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,pierre,particules,perdre,votre,vhich,alembert,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,parties,meres,luc,alexis,dispersion,diderot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,lion,compact,forte,fens,swammerdam,berne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,conversion,scorpion,bafe,petersbourg,carnage,novice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,comte,oblong,corde,surplus,animalcules,playes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,commission,transverse,tue,isles,lc,pyrites,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,commerce,pairs,brunswick,subsistance,ak,brigands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,car,lat,vase,ifles,mole,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,second,dura,passe,dresser,verte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,situation,bon,bases,laver,pau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,impossible,paw,edifice,exportations,chev,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,testament,insinuation,charlemagne,appellant,gloire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,fond,quart,edifices,sainfoin,pigeon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,places,urine,indirect,puissant,pauvre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,innocent,empires,rapt,pots,fentiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,princes,rats,vestiges,photius,puns,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,fix,coins,dominant,invocation,hafte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,attention,accusation,commode,dit,pangloss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,agitation,canton,voit,khan,germain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,lame,ville,jason,cochin,servent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,habit,ui,sh,conventions,disposer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,disposition,cantons,eb,substitution,suspects,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,visible,vin,db,dues,suffrages,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,usage,invariable,ile,signature,pins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,signal,existent,sept,distributions,munich,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,royal,anglicans,colon,monarchies,eut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,prudence,foible,gouverneur,maladie,flexion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,profit,inspection,eg,haye,plexus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,points,vendue,lien,contagion,amputation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,instruction,impositions,rotation,capitation,distension,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,institution,extraction,fermentation,avenue,forceps,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,content,relatives,brigade,reg,absorption,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
