Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,religion,passe,direction,louis,jurisdiction,mirabeau,abstraction,formation,adresse,symbole,atome,murray,reg,compression,francs,segment,biologie,radium,transpiration,annexion,notre,planes,internationales,intention,exil,interne,branche
1,fort,constitution,pott,situation,conventions,marquise,parallele,porte,pi,novelle,cents,conseil,spirale,roi,agitation,bureau,dissertation,entente,grippe,ag,suisse,monopole,structure,db,bloch,jacques,sexuelle
2,sic,position,oncle,fond,fis,insinuation,inspiration,section,discussion,ete,amendement,marie,vagina,concessions,absorption,photographie,phys,diplomatie,guerre,temps,avait,schuman,gaulle,office,second,michel,eur
3,sa,luther,montesquieu,courant,fermer,fig,siam,flexion,universelle,basalte,moderne,attribut,renan,question,bronze,revue,-,initiative,politique,milieu,commerce,bd,husserl,pierre,exposition,roland,signal
4,ll,cantons,billet,accords,pupille,cartes,visconti,plexus,concert,restauration,-,luxation,plotin,internationale,polarisation,bois,-,ukraine,allemagne,conditions,votre,europe,programme,transformation,exhibition,innovation,ip
5,ton,armes,ellipse,industrie,bataille,anarchie,bastion,chorion,ressort,talleyrand,-,armand,dist,constante,statut,forteresse,-,bourgeoisie,russie,type,donc,science,vietnam,eg,pu,global,installation
6,mer,chef,astronomie,julien,capitaine,vase,onyx,fils,doms,placenta,-,france,injection,concentration,proudhon,-,-,-,bibliographie,empire,quelques,dreyfus,technologie,sartre,norbert,informations,balance
7,bon,colonne,oeconomie,cours,magistrats,robespierre,raja,possession,pic,accidens,-,comp,points,probleme,jean,-,-,-,article,-,avons,alternative,variable,siegfried,-,externe,mobile
8,nt,haute,orion,fonds,garnisons,amadis,eratosthenes,vaccine,humboldt,sera,-,danton,complexes,centrale,-,-,-,-,variation,-,intervention,-,-,version,-,foucault,content
9,ses,garnison,stigmate,julie,appellations,granits,narbonne,minimum,quinquina,tilly,-,directe,-,-,-,-,-,-,rv,-,vichy,-,-,-,-,-,communication
10,lc,panier,vl,om,tare,individuelle,consuls,foetus,civilisation,-,-,-,-,-,-,-,-,-,-,-,institution,-,-,-,-,-,-
