Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,son,ibid,marie,tours,chap,pis,force,livres,malek,orifice,roy,cour,milan,assise,lettre,etat,testimoniale,chopin,poincaré,internationale,pénale,conditions,husserl,structure,charles,jacques,menu
1,cause,cave,valens,lig,livre,foix,corps,consul,antigone,lignes,citer,avait,renan,prusse,argille,fonde,jeanne,science,versailles,convention,vitamine,national,pierre,alternative,siècle,louis,office
2,est,reaumur,effet,lame,apelle,armagnac,deux,canton,polinice,veine,estoit,était,prince,bismark,frontale,avons,dol,sciences,comp,sainte,stendhal,jean,vietnam,urss,question,-,-
3,met,abc,lune,matrice,moulins,jurisdiction,action,avis,patere,moreau,lussac,savoie,europe,promis,dicte,urine,indo,philosophie,-,congo,-,monde,robert,-,-,-,-
4,grand,df,filiis,poitiers,cambray,toutes,proposition,six,salamandre,choléra,deluc,cellule,naples,spinoza,-,opération,longitudinale,quint,-,bucarest,-,-,-,-,-,-,-
5,fa,cassini,leo,formey,louvre,tous,doit,charge,adj,-,laplace,inf,royaume,antenne,-,malade,-,austro,-,-,-,-,-,-,-,-,-
6,cardinal,fibre,somme,galle,montmartre,toujours,partie,section,victor,-,sennaar,-,puissances,pagg,-,société,-,werner,-,-,-,-,-,-,-,-,-
7,sa,db,province,breda,intelligente,dieu,cet,empire,grammaticale,-,serenissime,-,autriche,marne,-,dalloz,-,george,-,-,-,-,-,-,-,-,-
8,vin,eg,semestre,abcd,lettres,votre,ainsi,parties,tombe,-,ganganelli,-,serait,revue,-,-,-,-,-,-,-,-,-,-,-,-,-
9,dis,prop,sydenham,francfort,verbal,jamais,animaux,commission,-,-,mestre,-,economie,bruxelles,-,-,-,-,-,-,-,-,-,-,-,-,-
10,mens,bf,recolte,noailles,notre,donc,exemple,articles,-,-,lamartine,-,castlereagh,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,ton,gh,censure,agir,été,denis,alcool,bureau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,dire,membrane,discipline,punir,nombre,encore,chaque,commandant,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,pi,bg,distingue,canon,ordre,aussi,manière,code,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,forme,masse,albo,farine,bois,toute,acide,francs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,quand,dira,liste,tournefort,feront,eglise,aiguille,acte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,vit,superficie,limite,verra,chapitre,autorité,électricité,dispositions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,qu,solide,concerne,unanime,procès,patriarche,silice,route,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,forte,baie,carriere,buffon,arbres,puissance,clarice,suite,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,sera,germe,arbitrale,temporis,réparations,mème,dreux,finances,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,vil,diagonale,appellante,lave,rohan,embrun,coroll,quatre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,dit,mariotte,paul,belette,baillis,cagliostro,paresse,ayant,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,eu,gomme,port,adagio,prieurs,thomas,brissac,aucun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,porte,aurore,annal,cantate,commanderies,sire,animal,aucune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,jl,fondamentale,bec,selle,valois,droit,dorsale,cinq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,pat,australe,lon,rameau,amer,foi,cod,dix,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,parti,cg,flotte,confirma,olive,gouvernement,montesquieu,doivent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,font,cm,branche,vase,probl,seroit,necker,dessus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,audit,michel,princeps,sens,triste,seconde,commerce,faite,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,petit,amurat,canot,arles,paw,pasteurs,cou,droits,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,tant,bajazet,sophie,metz,fou,amboise,essai,rapport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,ici,tripoli,breton,hayes,foie,avoit,travail,biens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,donna,fois,centurie,rems,racine,avoir,pauvres,dernier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,ait,fraude,ic,laon,rousseau,soit,posseder,garde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,feu,violente,om,soissons,rivale,espagne,calonne,lieux,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,mort,contumace,lis,chapelle,euripide,malpighi,pays,chef,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,ij,contarini,pape,aix,basse,pallade,homme,jugement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,guerre,vifir,habitans,funeste,nature,bonnet,nation,ladite,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,suis,ottomane,succède,troyes,monsieur,amadis,circulation,compte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,propose,cn,lé,nantes,duc,spallanzani,tems,particuliers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,ht,ou,patrie,ronde,tigrane,compare,faut,signé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,quart,fait,divise,angers,illustrissime,cranmer,hommes,commissaires,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,rit,histoire,episcopale,rouen,alkali,traverse,seront,compris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,donne,faire,fideles,chartres,alembert,iliade,argent,officier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,terre,opinion,féminine,langres,osman,granvelle,terres,desdits,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,mille,suit,présidente,senlis,khan,parme,très,lesdits,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,soient,lieu,intéresse,passera,bossuet,pupille,souvent,domaines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,origine,coincide,dom,usure,visir,cortès,état,commissaire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,campagne,eb,monarchie,verdun,oreste,buonaparte,choses,solde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,né,mp,miel,clugny,camus,république,peuvent,jours,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,sorte,cp,gens,limoges,statutum,bure,cependant,seulement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,maniere,tk,mais,pannonie,ses,pin,moyen,vingt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,passa,mc,bon,scops,arts,pres,quantité,lorsque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,quant,mf,linn,rude,officin,-,valeur,année,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,utile,fd,foliis,visconti,ailli,-,moyens,faits,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,tenue,dg,latin,tronc,colon,-,seule,faites,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,papier,ax,mars,cicatrice,nostris,-,signes,ouvrages,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,religion,cv,vl,putride,-,-,prix,égard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,base,contusion,aie,anglo,-,-,richesses,également,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,raisins,accusa,placenta,gage,-,-,besoins,entrée,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,dr,motrice,voyage,bachi,-,-,valeurs,sommes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,sc,ak,oblique,torricelli,-,-,métaux,maîtres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,cd,heu,mou,sont,-,-,denrées,intérieur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,pas,colonie,bled,sec,-,-,numéraire,poids,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,pu,paris,micheli,vives,-,-,amiens,nécessaires,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,vie,leurs,acb,esset,-,-,nassau,générale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,air,cette,reine,dispute,-,-,cochin,chargé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,mon,franc,montpellier,bibliot,-,-,raison,états,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,tin,lc,sauvages,farnese,-,-,namur,janvier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,ui,mus,blanc,deftin,-,-,basalte,septembre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,sept,lion,rouge,-,-,-,idées,produit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,belle,hist,nulle,-,-,-,brusselles,tenu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,ponte,mot,refte,-,-,-,berghes,savoir,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,mole,edit,formule,-,-,-,tronchet,décret,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,aura,acad,xy,-,-,-,auteur,condamné,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,roi,nom,vache,-,-,-,dant,déclaration,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,innocent,maxime,automne,-,-,-,maire,exécution,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,rare,joint,dv,-,-,-,article,peines,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,pere,apparent,cotte,-,-,-,jour,travaux,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,interne,gf,erre,-,-,-,premier,précédent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,mari,latine,manille,-,-,-,comte,prises,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,cher,onc,orge,-,-,-,administration,effets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,colonne,italie,boulanger,-,-,-,gouverneur,frais,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,dre,remis,fruges,-,-,-,conseil,compter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,osa,imprime,folio,-,-,-,officiers,membres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,siam,eaux,france,-,-,-,etats,président,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,présente,sortes,piés,-,-,-,rome,soumis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,marche,puis,longueur,-,-,-,lois,entendu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,divin,fortes,ferrare,-,-,-,juges,objets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,santé,vont,prie,-,-,-,grasse,tenus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,sorti,ancien,largeur,-,-,-,communes,régie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,voile,royale,fleuve,-,-,-,trois,conformément,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,suc,vif,tutrice,-,-,-,mois,extrait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,tomba,agit,nette,-,-,-,paix,chargés,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,finir,offre,duhamel,-,-,-,loi,trésor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,profonde,rivière,forge,-,-,-,présent,pièces,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,profond,îe,bl,-,-,-,pourra,secrétaire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,efficace,folie,vagina,-,-,-,auront,prescrit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,unité,vaste,perte,-,-,-,actes,dépenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,promesse,apollon,vertebre,-,-,-,pourront,condamnés,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,créature,tonde,gallerie,-,-,-,consulte,réunis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,vente,cède,saint,-,-,-,après,employés,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,mette,ion,peut,-,-,-,empereur,militaire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,ville,strabon,rue,-,-,-,peine,époque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,figure,mer,grammaire,-,-,-,général,fixé,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,fc,ces,point,-,-,-,première,receveur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,copie,verte,aux,-,-,-,titre,registres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,caufe,peu,ont,-,-,-,romains,notaires,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,vin,hales,autres,-,-,-,juge,amende,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,vignoble,eau,comme,-,-,-,ministre,directeur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,compagnie,fluide,quelques,-,-,-,préfet,montant,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,condé,union,balle,-,-,-,fonctions,domicile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,consiste,sultan,aga,-,-,-,extraordinaire,registre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,capitale,relative,plantes,-,-,-,protecteur,militaires,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,fente,bernard,polypes,-,-,-,séance,bureaux,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,tira,marin,corail,-,-,-,tribunaux,marchandises,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,conclave,attila,mis,-,-,-,département,receveurs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,ombre,accorda,bayle,-,-,-,maires,caisse,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,doria,concorde,-,-,-,-,-,délai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,tare,otton,-,-,-,-,-,devra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,imperatrice,public,-,-,-,-,-,voitures,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,civile,martin,-,-,-,-,-,préposés,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,riviere,investiture,-,-,-,-,-,enregistrement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,borgia,venez,-,-,-,-,-,propriétaires,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,ré,beccarie,-,-,-,-,-,départemens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,imperiale,magistrature,-,-,-,-,-,devront,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,dura,type,-,-,-,-,-,impérial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,dame,cent,-,-,-,-,-,paiement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,flore,occasion,-,-,-,-,-,douanes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,fr,conversion,-,-,-,-,-,octrois,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,commune,honore,-,-,-,-,-,confédération,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,ao,industrie,-,-,-,-,-,arrondissement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,car,lè,-,-,-,-,-,inséré,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,statue,major,-,-,-,-,-,centimes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,eft,mode,-,-,-,-,-,préfets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,pus,loix,-,-,-,-,-,conscrits,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,ami,idée,-,-,-,-,-,lunette,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,dot,analogie,-,-,-,-,-,amie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,fore,tome,-,-,-,-,-,toscane,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,file,trop,-,-,-,-,-,luc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,rie,lime,-,-,-,-,-,tab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,fil,plu,-,-,-,-,-,gmelin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,martire,iis,-,-,-,-,-,lister,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,impératrice,paralelle,-,-,-,-,-,venus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,furie,pire,-,-,-,-,-,fort,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,dite,-,-,-,-,-,-,temps,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,fè,-,-,-,-,-,-,politique,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,meaux,-,-,-,-,-,-,beaucoup,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,fuc,-,-,-,-,-,-,traité,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,efi,-,-,-,-,-,-,besoin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,pont,-,-,-,-,-,-,méme,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,bafe,-,-,-,-,-,-,richesse,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,ile,-,-,-,-,-,-,ies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,avg,-,-,-,-,-,-,saussure,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,moderne,-,-,-,-,-,-,brun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,terme,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,ruine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,mene,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,ovale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,orientale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160,virile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
161,rame,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
162,gros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
163,fur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
164,bien,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
165,marine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
166,sel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
167,corde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168,efl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
169,patentes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
