Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,son,consul,condé,pat,sable,sultan,heyder,copie,cadi,dupont,guizot,rayon,roland,commune,mitre,balance,mestre,tremblement,ferré,coloniales,pese,jean,global,dominantes,george,cp,ong
1,est,dure,fermer,colon,desir,iij,munich,alcool,adj,ney,ile,foix,semestre,bazaine,crée,sont,-,dicte,-,-,spinoza,-,urss,comités,-,textiles,euros
2,religion,bastion,bourges,cochin,caton,mp,ovales,humboldt,port,junot,lamartine,berzelius,ami,dol,brun,dents,-,-,-,-,-,-,disponibles,disponible,-,ns,science
3,france,bachi,clermont,nevers,charles,terrestres,circule,centrales,cou,bertrand,-,déficit,renan,-,-,-,-,-,-,-,-,-,robert,national,-,sida,ocde
4,thomas,explique,tribu,transversales,reims,muriate,buffon,rousseau,conserve,cod,-,verbal,-,-,-,-,-,-,-,-,-,-,vietnam,avances,-,onu,-
5,paris,chaux,landgrave,bruges,madrigal,consulte,reaumur,abolir,sucre,lyon,-,anglo,-,-,-,-,-,-,-,-,-,-,-,coincide,-,élite,-
6,union,arabe,francfort,bossuet,albo,responsables,fusion,contraste,pascal,mirabeau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,ic,fusil,vitales,rois,officin,cassini,zinc,montesquieu,royal,piés,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,canon,trifte,dresde,cd,hortense,flexion,rochefort,diderot,paw,danton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,ibid,aspres,franc,bd,genista,forceps,pestes,robespierre,carol,dumouriez,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,fa,responsable,foliis,bases,fucus,epée,daubenton,noailles,electoral,marat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,ion,bachis,tournefort,remis,embrion,lat,seba,orléans,clair,collot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,martin,stadhouder,lig,hales,damon,bibliot,marcgrave,chorion,occipital,carnot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,baron,saint,fréquentes,glande,dites,envie,brisson,tour,belford,hoche,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,sa,article,vit,corticales,regne,seron,combustibles,calibre,-,parles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,cn,jurisdiction,pension,bonnet,regens,soluble,nitrate,calibres,-,ui,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,cas,six,notre,abc,galion,combustion,transparentes,parque,-,bai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,ton,charge,esset,coque,nostrorum,sauvages,colorante,usage,-,arts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,pas,parties,pubis,mens,césar,observé,ocre,florins,-,talleyrand,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,pu,comte,été,prop,mere,transparente,moreau,argent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,dura,marquis,dix,fil,racine,-,silice,florin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,bien,accord,bretagne,sydenham,occasion,-,té,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,qu,marin,platon,visa,oxide,-,café,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,sera,dot,chrétienne,fert,carbonate,-,estime,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,vil,partie,martir,observ,sulfate,-,coronal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,vagina,sens,amé,mors,eus,-,alembert,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,eu,acte,britannique,donat,excellente,-,sinon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,porte,metz,epiploon,cave,histoire,-,fémur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,opinion,privileges,honore,heu,gris,-,sicard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,possession,villages,limite,verte,frases,-,arnauld,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,car,fins,flore,cohortes,-,-,massieu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,eft,traite,linn,ponte,-,-,sire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,mon,jur,comment,vase,-,-,necker,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,mission,fens,spec,annal,-,-,osman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,milan,munster,pré,municipal,-,-,oxides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,mis,ratification,logis,languedoc,-,-,subdivision,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,jupiter,lorraine,carduus,grenoble,-,-,triple,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
