Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,man,und,ner,wd,engl,nickel,kaiser,pereeption,noe,heber,wittemberg,kossuth,dass,spectrum,faust,thet,maj,wagner,jahr,lenin,java,freud,peking,inflation,ibm,unc,islam
1,art,haller,berg,bein,trevor,testaments,friedrich,thon,diodorus,cholera,-,bor,millim,bismarck,darwin,fouquet,-,sqq,buddha,geol,quantitative,delegation,physiol,antigen,-,golf,governance
2,nd,aus,johannes,corpora,ew,athanasius,sche,atom,golde,nnt,-,-,wied,kali,grades,subjective,-,aaa,yen,differential,-,-,mao,engels,-,-,-
3,also,oder,rap,wort,bund,libs,schal,-,-,brant,-,-,ammonium,puls,-,bacillus,-,-,fiber,marx,-,-,-,codes,-,-,-
4,ten,ber,buren,lobe,mg,leopold,wei,-,-,-,-,-,weber,lach,-,chem,-,-,conductors,hitler,-,-,-,isbn,-,-,-
5,war,alle,harrington,stigma,gc,antiochus,belleisle,-,-,-,-,-,lessing,-,-,-,-,-,ku,beethoven,-,-,-,-,-,-,-
6,land,ja,winters,corinth,hab,seleucus,mel,-,-,-,-,-,-,-,-,-,-,-,urban,proletariat,-,-,-,-,-,-,-
7,dies,aller,links,tun,lichen,abner,herodot,-,-,-,-,-,-,-,-,-,-,-,-,mann,-,-,-,-,-,-,-
8,dm,web,hats,kit,alb,motte,haue,-,-,-,-,-,-,-,-,-,-,-,-,reich,-,-,-,-,-,-,-
9,hie,sich,witt,wares,dig,raa,oxigen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,alter,nicht,eva,lung,gm,hals,alcibiades,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,fall,ein,cromwell,decimal,gn,maittaire,hannibal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,gold,eine,mans,schaffer,nm,voll,themistocles,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
