Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,art,unb,lande,bagdad,kan,zar,bey,typhus,tost,morbus,pneumonie,signale,leibniz,oft,abel,koch,brut,wagner,reich,tirailleurs,mg,brandes,dasein,engels,sq,dm,web
1,em,liege,roxane,frisch,sond,ei,physiologie,leipzig,nelvil,nus,fourier,ist,montalembert,bismarck,tuberculose,aus,nietzsche,pathologie,islam,gramont,beuve,bonn,freud,quantitative,terminologie,nd,hans
2,ft,arsenic,opium,klein,winkelmann,landes,manches,wittgenstein,vieilleville,canova,guienne,metternich,hugo,landwehr,anthropologie,tonne,budgets,kaiser,fichte,hitler,plage,mozart,mao,weber,heidegger,aron,karl
3,ter,ende,testaments,buse,geneve,siciliens,-,sanct,quarz,ten,thiers,-,atrophie,psychologie,bull,lessing,-,reichstag,armateur,och,baader,instituts,rubrique,utopie,biographie,isbn,-
4,mm,ost,allem,aar,mondes,horde,-,jourdan,teste,alle,danemark,-,-,eine,ein,km,-,war,marx,budapest,postulat,-,-,ironie,-,euro,-
5,cr,montfaucon,codicille,julius,fen,zal,-,feit,armee,industrielle,eure,-,-,wird,-,sind,-,thymus,ruhr,oxydation,eines,-,-,-,-,eme,-
6,cc,baume,cage,gesner,feld,worden,-,grimm,ricci,werden,hegel,-,-,welche,-,einer,-,-,inflation,blum,haben,-,-,-,-,codes,-
7,ee,gori,septime,parlements,magnus,niger,-,-,sy,-,schleswig,-,-,complexe,-,nur,-,-,hat,noch,anderen,-,-,-,-,-,-
8,ja,mans,nivelle,rheims,yorck,armer,-,-,cuvier,-,-,-,-,-,-,autonomie,-,-,artikel,einen,deutsche,-,-,-,-,-,-
9,aller,montfort,genevieve,carmel,ballon,sich,-,-,-,-,-,-,-,-,-,-,-,-,vaccination,kann,deutschen,-,-,-,-,-,-
10,ge,bamberg,morse,simmias,armateurs,nicht,-,-,-,-,-,-,-,-,-,-,-,-,-,einem,regierung,-,-,-,-,-,-
11,sage,range,hatte,muratori,wolga,dass,-,-,-,-,-,-,-,-,-,-,-,-,-,wenn,beiden,-,-,-,-,-,-
12,plat,cosinus,ifi,eis,erlach,saline,-,-,-,-,-,-,-,-,-,-,-,-,-,also,bestimmungen,-,-,-,-,-,-
13,grosse,bau,daran,nomine,ches,ung,-,-,-,-,-,-,-,-,-,-,-,-,-,stock,teile,-,-,-,-,-,-
