Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,man,amsterdam,alter,hie,puy,ziska,miasma,aw,petr,cholera,alb,kossuth,girgenti,bismarck,witte,aus,energie,misti,sterne,reich,ent,also,-,weber,strategie,voll,web
1,art,mn,diaconus,tartarotti,magister,maittaire,chirurgi,uff,,morbus,-,saldo,metternich,hegel,wagner,bart,hugo,musei,ruhr,hitler,zool,gab,-,freud,-,blu,islam
2,em,leiden,hos,dey,tag,aller,jenner,pellagra,schah,dig,-,-,lotte,thiers,actio,oder,nietzsche,fiir,koch,wolff,mozart,iuris,-,mao,-,pds,governance
3,ft,leibniz,petrus,kam,commendator,sott,galiani,goeze,cuvier,-,-,-,-,berlin,km,sich,-,pianoforte,-,budapest,aehrenthal,-,-,kierkegaard,-,euro,-
4,ter,wallis,integrum,glatz,brindisi,maj,ortes,borghese,melodie,-,-,-,-,ueber,-,nicht,-,mommsen,-,-,zar,-,-,ideologie,-,-,-
5,ob,saline,andreas,geometra,moden,jens,stoffe,dic,archiv,-,-,-,-,rap,-,ein,-,war,-,-,berchtold,-,-,formulare,-,-,-
6,cr,nm,johannis,seste,oliveto,-,hat,cron,bett,-,-,-,-,hab,-,eine,-,-,-,-,fall,-,-,heidegger,-,-,-
7,cs,bernoulli,morigia,yorck,und,-,obs,feld,-,-,-,-,-,darwin,-,auch,-,-,-,-,lenin,-,-,-,-,-,-
8,gen,alcali,privilegium,summarie,landes,-,numerus,bonanni,-,-,-,-,-,bull,-,leipzig,-,-,-,-,engels,-,-,-,-,-,-
9,ee,musschenbroek,trinitatis,avellana,stahl,-,franciscus,chemnitz,-,-,-,-,-,pred,-,dass,-,-,-,-,chem,-,-,-,-,-,-
10,alle,professore,pars,teste,volt,-,canova,etna,-,-,-,-,-,-,-,wird,-,-,-,-,bach,-,-,-,-,-,-
11,ja,monade,guinea,mariane,sodoma,-,alp,giani,-,-,-,-,-,-,-,einer,-,-,-,-,-,-,-,-,-,-,-
12,ge,bb,rosse,mariae,debitor,-,-,-,-,-,-,-,-,-,-,nur,-,-,-,-,-,-,-,-,-,-,-
13,ei,aa,actus,pistole,bonorum,-,-,-,-,-,-,-,-,-,-,noch,-,-,-,-,-,-,-,-,-,-,-
14,dies,gr,hort,iunii,gold,-,-,-,-,-,-,-,-,-,-,werden,-,-,-,-,-,-,-,-,-,-,-
15,sen,maupertuis,natur,poena,winkelmann,-,-,-,-,-,-,-,-,-,-,welche,-,-,-,-,-,-,-,-,-,-,-
