Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,pr,ita,eum,eh,virg,fpecie,vt,cosa,doge,hia,prep,-,uterine,-,sta,menses,max,cavour,cooperative,mussolini,franco,turbine,coordinate,ghetto,immune,fax,audio
1,non,ejus,bel,mandate,decifive,palladio,falcon,casa,potassa,-,eq,-,larva,-,padre,rr,atl,core,sci,molecule,brandeis,venezuela,acta,math,video,agenda,gonna
2,pure,vero,bile,chronic,violino,uri,wol,quum,praetor,-,-,-,proc,-,sez,cristo,bacilli,serbia,sigma,camera,-,framework,-,generate,pc,emerge,scenario
3,cum,eo,joannes,canna,domenico,mire,giuliano,horat,castruccio,-,-,-,huss,-,nicaragua,armature,-,bulgaria,caes,-,-,-,-,usa,-,capita,hello
4,ut,mihi,fossile,clorinda,basso,propofe,piero,sce,sterile,-,-,-,uv,-,costa,lode,-,propaganda,-,-,-,-,-,-,-,-,-
5,quod,alia,cora,alba,vince,vignola,bonaparte,serrate,-,-,-,-,aro,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,suora,rerum,fof,int,pap,scamozzi,numa,edi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,grave,serena,catarina,cornea,gl,terrene,galba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,ac,alias,rinaldo,vertebra,kg,vicenza,cilicia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,cattedrale,funt,marian,sacrum,hac,alberto,milanese,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,st,cane,fb,interna,caule,mulo,cappadocia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,ed,miniature,cui,genera,floribus,allude,situate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,sub,simile,dal,ossa,cos,cleves,plin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,domini,jus,omnibus,spine,gi,loc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,co,sei,jura,scapula,glabris,locum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,tamen,genus,tum,fossa,calycibus,procurator,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,sine,omnia,super,rami,fel,antonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,quis,rat,sua,carpi,surinam,mie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,quia,color,tribus,communis,abd,mede,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,nostri,bologna,quos,antoninus,ade,botte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,nec,bella,manu,corolla,nef,eftate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,hoc,affirmative,erit,tv,ik,poc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,terra,lite,caput,conduce,lp,prelim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,sed,interpose,bus,aer,xm,libri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,quam,diverse,roma,illuminate,monf,indice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,note,mise,regni,noster,cj,studio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,maria,vera,nifi,savi,spica,notis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,atque,cuba,illis,concedendo,saliva,medici,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,vide,coram,eos,preclude,kal,siena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,ur,chocolate,aliis,evince,inclusive,cura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,tempore,comode,unum,spect,fs,signori,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,sunt,missionary,tempo,fevere,caf,eius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,ss,ful,tal,cu,basi,locis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,secundum,console,reli,carte,aq,interprete,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,omnes,formula,regem,bibl,allo,codice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,inter,idem,perche,breve,hk,andr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,dominus,tr,som,prout,gb,vico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,com,nero,decreto,nostro,bcd,duo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,bona,ravenna,populo,suo,bk,opus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,far,chron,quas,ibidem,acd,typis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,due,ima,ipse,fuerit,adc,variis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,dum,pavia,gallia,ejusdem,abcde,cosimo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,fine,luce,orbem,dub,fk,edita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,case,calabria,novo,cange,np,galla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,tam,albania,hominum,bene,duplicate,veterum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
