Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,non,dat,sola,zero,pc,bailly,barite,vera,max,quum,existant,basi,berthier,favre,territoriale,armature,turbine,originale,piano,insiste,rossini,fiscale,mali,ultime,rite,fax,papa
1,pure,tot,calmet,pile,macao,strab,volta,lampe,cyr,nob,ct,cass,cavour,gare,franco,coloniale,-,grotte,musicale,ultra,minima,coll,questo,data,agro,cart,format
2,cum,nostre,fidei,fossile,fpirale,assemblee,uu,xm,-,excédant,priori,comm,olim,quai,kg,cuba,-,int,vise,mussolini,anima,nicaragua,archivio,mauriac,-,fra,fragile
3,ut,fonte,lastre,coni,coromandel,conti,arcade,affirmative,-,agricole,faciunt,mentale,appendice,suez,-,cote,-,mondiale,case,fasc,larve,ms,torino,orale,-,instar,simone
4,quod,délie,sparte,avi,pamiers,atroce,sono,nn,-,fieschi,dictum,chili,-,ben,-,-,-,trieste,miranda,intra,frangipani,ministro,radicale,usa,-,-,-
5,suora,berti,surinam,gassendi,mart,municipale,sia,murat,-,secundum,curie,-,-,-,-,-,-,pari,rossi,pm,vico,-,norme,-,-,-,-
6,ac,vanne,caracalla,albin,vipere,pedes,essere,doge,-,unde,dicto,-,-,-,-,-,-,-,sofia,bagno,habitat,-,angola,-,-,-,-
7,cattedrale,origene,reverende,dus,galba,var,civ,-,-,loc,uel,-,-,-,-,-,-,-,-,-,som,-,cee,-,-,-,-
8,st,episcopat,autonome,palladio,ik,bonaparte,malabar,-,-,scilicet,dictus,-,-,-,-,-,-,-,-,-,ibsen,-,-,-,-,-,-
9,co,guerrier,tasse,tarda,bitume,-,bonneval,-,-,hic,octroi,-,-,-,-,-,-,-,-,-,serra,-,-,-,-,-,-
10,maria,porto,juris,perrault,boris,-,-,-,-,dicitur,abd,-,-,-,-,-,-,-,-,-,zola,-,-,-,-,-,-
11,com,nef,superflue,columba,hift,-,-,-,-,commerciale,bruno,-,-,-,-,-,-,-,-,-,globale,-,-,-,-,-,-
12,che,institut,tiberio,jul,bauh,-,-,-,-,regem,massena,-,-,-,-,-,-,-,-,-,relevant,-,-,-,-,-,-
13,lib,infra,imp,nostri,minor,-,-,-,-,navale,garnier,-,-,-,-,-,-,-,-,-,trimestre,-,-,-,-,-,-
14,cap,rapporta,lue,ego,vivace,-,-,-,-,-,libri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,ch,apporta,urne,alia,lati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,ia,nu,ère,quos,mat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,ta,tum,prime,regni,plum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,fi,tam,semi,illis,caule,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,ap,erit,extra,aliis,floribus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,pe,tempus,nome,quorum,glabris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,tom,stella,cardinale,prout,calycibus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,ve,dh,pastorale,ejusdem,ovato,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,ai,albani,loci,dicti,dante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,enim,neri,arcate,litteras,cos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,ea,cassette,mone,ordinis,fel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,pag,nadir,baffe,regno,oliva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,ri,lille,astruc,bafle,bergman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,jus,mol,bonis,rurale,cime,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,pur,sine,rei,concilii,numa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,causa,cu,nihil,juxtà,provinciale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,parole,fuerit,illud,decretum,lucerne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,ci,quest,rote,nisi,daun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,eh,fret,sociale,ecclesiae,tribune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,mai,monaco,architrave,concilio,vostre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
