Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,pr,note,flora,pari,mai,categorie,saluzzo,max,quum,porta,seu,dante,cornea,thugut,boccaccio,sua,dicti,neutrale,madonna,giuliano,panzer,ct,terminus,cit,telex,foto,pc
1,st,mister,parole,agio,sta,reale,vercelli,termine,tempus,vr,dito,unde,michelangelo,inde,kg,status,quondam,propaganda,rm,sofia,duce,battaglia,variante,quasi,nicaragua,stasi,int
2,ur,locum,corsini,catania,procurator,posteriori,relig,var,soda,dogma,curve,massena,notare,pe,vita,nel,tut,-,-,pallavicini,sismondi,franco,regionale,relevant,-,fax,video
3,ss,loco,quadrate,siracusa,personale,ideale,minerva,dea,porticus,sive,tratte,-,ecclesiae,tr,serie,malaria,tot,-,-,liberale,totale,nato,rosa,charta,-,roma,paradigma
4,che,quell,mercur,mattoni,allegro,bartolomeo,thema,orvieto,diodor,lex,matteucci,-,secundum,cavour,mekka,-,rote,-,-,rg,ribbentrop,-,plenum,-,-,tv,-
5,ch,veste,tempo,otranto,institut,lucian,vocale,romeo,serra,sulla,rustica,-,nisi,curie,-,-,private,-,-,mussolini,fugger,-,-,-,-,globale,-
6,ia,regie,angelo,lecce,priori,prisma,bonaparte,tribus,janeiro,domini,-,-,anima,galilei,-,-,tal,-,-,case,-,-,-,-,-,fn,-
7,tt,habens,lava,messina,mola,concreto,vide,quanta,aten,nostri,-,-,sociale,petrarca,-,-,-,-,-,usa,-,-,-,-,-,normative,-
8,ta,perso,albani,bari,schema,intereffe,pg,jura,comm,ecclesie,-,-,papille,patria,-,-,-,-,-,rd,-,-,-,-,-,operative,-
9,item,canale,terz,vinci,joannes,quod,detto,patente,signa,dep,-,-,-,-,-,-,-,-,-,regime,-,-,-,-,-,agenda,-
10,ve,moral,palme,capo,alba,hoc,volta,imperator,helena,ali,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,jo,tribut,portici,forum,carvalho,dal,odoardo,-,proc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,ms,pure,solo,format,cantone,rerum,claudia,-,winckelmann,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,ben,quis,zero,taranto,votum,vt,interessante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,sei,dum,usus,nicolai,epoche,piramide,quibus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,nn,principia,rade,posto,felle,tamen,potest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,nu,pilato,comando,prime,ordinate,ajax,uti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,rem,acidi,ebbe,carte,clie,podiebrad,religionis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,eh,bernardus,palco,ev,mise,pag,diss,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,gl,fette,iste,canone,interim,laura,arterie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,hac,gregorius,ut,data,lir,dp,vene,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,rum,glorie,sunt,facta,gratz,crim,ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,ih,suora,raleigh,stile,algardi,materiale,sed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,medici,monte,esser,diana,trist,livorno,ea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,mei,breve,segg,nero,bi,numa,natron,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,non,apollo,quia,stil,formale,livia,valuta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,cum,cardinale,ita,campidoglio,papa,mandane,ed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,grave,salvator,vero,capitolino,surinam,mandate,vera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,nec,lucca,super,homerus,furti,quantum,cui,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,quam,cattedrale,pet,barberini,algebra,urn,dio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,maria,bus,concilio,niobe,julii,manheim,alla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,vel,doge,andr,maestro,-,romane,conti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,anno,altare,religio,volte,-,grazie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,jure,ravenna,theologi,trabe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,ante,pavia,mic,longe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,juris,siena,omnes,arrende,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,natura,riga,tom,porto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,anna,corsica,enim,pelo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,otto,provinciale,ejus,nien,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,bologna,gonzaga,dominus,acta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,bel,ferrara,eo,nazion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,verona,caffa,eum,kien,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,uni,marz,daun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
