Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,pr,juris,nero,cuba,eius,inclusive,provenir,bi,espediente,andrea,esclusivo,frai,preventiva,ponente,umena,pellegrini,janeiro,ritmo,rossi,placa,turismo,rd,foto,andino,determinante,fax,caos
1,non,tribus,amalia,disput,iam,tendo,nutritiva,nicaragua,legalmente,bartolo,goda,hisp,comprendo,inciso,termine,mandatario,beni,laudo,modifica,angustia,romanticismo,mito,banca,tributaria,componente,consistente,clic
2,cum,illis,altissimo,taranto,cercar,martirologio,respira,fs,esclusivamente,pg,fascia,falla,candidato,transitorio,ateneo,faja,docente,socialista,-,comunismo,danza,concretamente,marxismo,consenso,bancaria,paradigma,operativo
3,ut,libri,breviario,undecimo,lisbona,mutuo,multiplica,fango,opina,tolomeo,pescara,fonseca,urbana,yndias,figueroa,implica,alza,terremoti,-,comunista,guardo,-,significativo,unam,evento,comunitario,dispositivo
4,quod,serra,intima,costanza,cipriano,gregoriano,rufo,segui,estraordinaria,declive,série,giannone,matta,mister,propaganda,crespo,universitaria,cemento,-,capitalismo,monetaria,-,dante,prevista,normativa,agenda,-
5,suora,pare,effo,baldo,uniformemente,belisario,indistintamente,artic,testo,verona,trimestre,finito,dextro,lira,estero,ernesto,lp,socialismo,-,pausa,decisiva,-,protagonista,bancario,cee,pertinente,-
6,grave,alias,grandissima,rodolfo,esperimento,ct,granito,alternativa,esterno,apertura,convenientemente,ugo,ecc,yslas,cambia,marea,napo,gesto,-,fascismo,episodio,-,dirigente,-,terrorismo,garza,-
7,ac,poetica,contemplando,enrico,flogisto,serm,rutilio,decisivo,esterna,definitivamente,fonte,guicciardini,-,previsto,-,civ,sanitario,bruno,-,fascista,realismo,-,monetario,-,pc,sorprendente,-
8,cattedrale,illius,tello,magnanimo,nitroso,verga,procedente,briza,teoria,sustituto,-,moncada,-,falcon,-,pub,ahumada,universitario,-,-,mercante,-,significativa,-,comunitaria,formato,-
9,co,cange,plutarco,frisia,abate,galilea,policarpo,intruso,espone,intervenga,-,panteismo,-,anr,-,-,sanitaria,frugoni,-,-,-,-,-,-,-,-,-
10,quia,fez,sila,servio,distintamente,siria,equivoca,cremor,pecuniaria,contrata,-,perito,-,liberalismo,-,-,kg,francamente,-,-,-,-,-,-,-,-,-
11,nec,illuftre,molefta,flavio,assenso,teodoreto,incremento,massena,estraordinario,donante,-,minuta,-,provisorio,-,-,caboto,agraria,-,-,-,-,-,-,-,-,-
12,hoc,litteras,sabino,cronica,pentateuco,bastimento,milita,uu,pernicioso,versa,-,legislativa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,terra,ordinis,totila,varron,moderato,keplero,opaco,uo,acceso,reparto,-,consultiva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,sed,necnon,tarte,controv,ocular,geografia,concreto,doloroso,riva,vigente,-,domos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,quam,oliva,scauro,teodorico,fiso,farmacia,briga,favorito,colmo,gustavo,-,tanucci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,maria,uti,max,alarico,casio,agita,staremberg,elio,rigorosamente,cristina,-,suez,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,omnes,religionis,gi,gerardo,anfelmo,numa,energia,impunemente,prud,-,-,terr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,inter,eccle,mane,quintiliano,gesnero,otto,filadelfia,qe,medie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,dominus,foro,edi,manfredo,ahi,riccioli,muriatico,magistratura,esp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,com,entrare,bles,adolfo,antimonio,siftema,carbonico,arbitrario,pericardio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,bona,fuerint,chevert,tributario,ammoniaco,domeftico,calorico,europea,oscura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,lib,suarez,fot,zelanda,atanasio,telescopio,carbonato,discute,magnetismo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,cap,earum,licet,bra,venezuela,ponz,muriato,arbitraria,popayan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,ia,corso,niente,nol,corintio,bailly,nitrato,arresto,estrema,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,id,usava,flato,vota,superfluo,emilio,fosfato,numerario,superiora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,pen,sedis,vitruvio,levar,navas,fulvio,vertebra,preopinante,definitiva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,ta,averlo,dorico,gelo,nobilis,alfabeto,obliquamente,posta,sesto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,ho,tridentino,crudo,mauro,diputaciones,indicar,loira,teodora,mostrare,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,fi,eidem,abaco,domus,finge,colono,bonaparte,danno,esteriormente,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,pe,valerio,mino,sebastiano,macrobio,inventar,simonia,enciclopedia,anatomica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,item,modi,purgar,mariano,polibio,aq,furto,tribuna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,ve,gia,suso,gela,castrum,gonorrea,erro,nutritivo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,jo,viver,lapis,descamps,tirab,clementina,tenie,vd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,ai,martirio,futura,fallare,marineo,gallia,liceo,contrae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,vo,ingrata,matilde,celestino,minor,savia,conoscer,quesnel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,etiam,apoftolico,corinthio,pene,ovato,trama,ateismo,boves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,quo,decano,conda,basilica,monti,celibato,coll,beata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,enim,caftel,maleficio,festivo,radice,combina,acta,misto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,ea,gandia,criminalmente,restar,villafranca,nomenclatura,tonsura,fosforo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,aut,deva,elba,tassa,purpureo,principia,lata,leida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,test,autentica,bautzen,logaritmo,leonida,regnante,uva,spedalieri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,quasi,filofofia,cart,cubo,annua,seriamente,legislativo,esser,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,pag,falfo,marg,dividendo,vegeta,serio,moralmente,ostante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,papa,libreria,vv,venerea,copiosamente,sincero,proclama,argento,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,ejus,fala,licentia,teologia,morena,torrente,despotismo,pretesto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,eo,pafqua,quotidiana,sembrar,gramen,calamita,trieste,moneta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,vera,fuper,diocefi,ninfa,vulgare,catarro,sesta,argenti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,monte,dita,tanquam,lora,maritimum,positivamente,alcalino,praedicta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,ante,apo,ponderando,quce,vulgaris,-,densa,dictae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,eum,ejufdem,madalena,cronista,semine,-,malaspina,monetam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,super,poefia,societatis,jf,sativa,-,concreta,monetae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,causa,quomodolibet,rima,pet,lutea,-,compresa,nostrae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,ci,severamente,circuito,caput,longioribus,-,alcalina,busto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,eh,ingenuamente,monitorio,voce,ruta,-,finlandia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,tam,quinque,botanica,luce,enfiteuta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,tua,dej,tartaria,viri,caule,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,sola,primaria,epifcopum,orbem,floribus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,ego,valde,epifcopo,novo,glabris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,fed,gratis,quum,fata,calycibus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,quid,indice,regni,tuas,spica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,sue,hujusmodi,regem,regna,cornea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,solo,ap,ejusdem,laudes,dicti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,alia,tot,locum,femina,exod,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,guido,gl,inde,instar,dictum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,num,hac,ecclesiae,vivere,dicto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,dio,intra,martini,facta,certa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,roma,livia,tandem,signa,generali,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,eos,aliis,hominum,duce,privilegi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,tal,fuerit,videtur,nunquam,juribus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,ji,tarn,noster,quicumque,vostra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,cu,tota,grimaldi,mense,salmo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,breve,fua,duo,jacet,dictis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,zi,regi,eam,domi,generalis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,tante,eodem,beneficia,nullus,pecunia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,dd,ub,infra,nullo,poetico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,concilio,locis,regno,nemo,aliquo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,anima,plin,ione,grata,bengala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,aurora,protesta,scilicet,crede,aragonum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,dice,secundo,dicitur,membra,praedictis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,funt,vostre,totius,jubet,facto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,color,ultra,episcopi,domum,casiri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,canto,modena,opere,oculis,sto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,quarto,sere,sinodo,urbe,incipit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,santo,quondam,episcopo,patet,atmosfera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,valle,tenore,episcopus,viro,mensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,romano,primi,ecclesia,carmine,peculio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,decreto,portar,urbis,haud,galea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,fama,termini,quatenus,febo,mili,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,mente,indulto,onorio,aere,protesto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,materia,dica,sonda,unda,appetito,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,gra,quiete,sedem,imago,ignominia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,regia,deposito,postea,honos,falange,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,tio,divo,partem,cuique,antioco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,caf,trenta,episcopum,vates,quadrio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,propria,pun,nomina,mox,sofronia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,cura,mandava,manus,huc,bergman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,cosa,prestar,iterum,dicere,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,casa,eternamente,illum,denique,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,padre,cinquanta,beati,homini,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,costa,contado,ferro,verbis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,presente,averia,terrena,genus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,pra,fifco,tertio,lex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,nota,fano,librum,log,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,quai,altres,fratrem,faria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,ministro,penfava,fidem,petrarca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,medico,aurelio,virginis,cilindro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,memoria,sian,eufemia,apogeo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,maestro,fisco,arde,diurno,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,quanta,inftituto,tenente,afelio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,patria,magistrados,quidam,quadrante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,moral,fifica,erant,emisferio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,data,eufebio,quippe,inversa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,pp,bafilio,legione,mrd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,fol,locus,quad,padron,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,parole,medi,eraclio,semitono,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,sor,fuprema,teodoro,quarzo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,fan,contorno,definitivo,laura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,idem,sei,bellum,serena,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,quel,bens,fuisse,lente,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,dona,deu,siquidem,mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,proc,flora,secum,misero,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,bo,chi,quomodo,improviso,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,oratorio,legat,prae,filo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,ani,fabio,namque,misera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,punta,carvajal,annis,presta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,marco,ade,civitate,lauro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,presto,sigma,civitatis,atlante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,peste,canonico,civitatem,pica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,conserva,cassa,iria,maza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,ipso,deli,urbem,eco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,yy,barba,calendas,frase,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,patente,effa,totam,passando,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,curato,tornando,dedit,sembrando,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,sede,tentar,obiit,trista,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,disciplina,perla,multis,dorotea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,visita,imaginaria,partibus,cupido,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,proposito,camina,itaque,soldan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,merito,fana,fratris,carmelo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,necessario,teforo,civitates,cortesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,testimonio,nuda,ipsius,ual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,patrocinio,erta,manu,andronico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,sistema,quena,adhuc,bela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,religioso,nofter,vitae,almerico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
