Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,ser,boerhaave,lin,expulsion,mana,platina,solio,muy,mina,-,soult,tumor,preced,-,pico,vne,integral,delta,dental,vector,gamma,prof,-,gene,genes,-,chris
1,gran,lamina,lus,marty,inte,azote,historiar,tiene,dict,-,consuelo,-,anal,-,alcalde,auec,cuba,alpha,-,regional,argentina,pueblo,-,-,sr,-,-
2,fo,cargo,orleans,cabal,cond,haro,nes,vmd,colombia,-,-,-,caudal,-,monterey,santiago,-,rica,-,formulas,variables,-,-,-,vitro,-,-
3,general,abdomen,pol,visual,yk,fale,cleomenes,lias,vivian,-,-,-,lec,-,vallejo,-,-,hygiene,-,-,aires,-,-,-,inc,-,-
4,pastor,muscular,ira,sector,saco,sacerdotal,valdivia,wellington,ref,-,-,-,-,-,rancho,-,-,servia,-,-,ivan,-,-,-,receptor,-,-
5,final,apices,catharina,tibia,planta,haz,-,insoluble,bolivar,-,-,-,-,-,carrillo,-,-,beta,-,-,virus,-,-,-,-,-,-
6,don,purpura,ida,arteria,ves,velasco,-,mexico,-,-,-,-,-,-,padres,-,-,chile,-,-,anemia,-,-,-,-,-,-
7,civil,lucifer,mos,legion,gallo,grs,-,gases,-,-,-,-,-,-,guatemala,-,-,-,-,-,biol,-,-,-,-,-,-
8,gabriel,grande,fos,tunica,ferdinando,nicomedia,-,alumina,-,-,-,-,-,-,-,-,-,-,-,-,plasma,-,-,-,-,-,-
9,ca,iris,esther,barras,dn,iz,-,ju,-,-,-,-,-,-,-,-,-,-,-,-,collar,-,-,-,-,-,-
10,america,bernardo,mathias,ala,ek,exemplar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,natural,vn,coila,trachea,cab,babel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,fatal,valor,exe,austria,qual,lama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,superior,invasion,minos,anterior,jj,theresa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,jacob,males,cathalina,nasal,fag,cullen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,sum,comb,dos,glandular,fab,laban,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,real,accession,liber,angular,dab,auditor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,lance,provincial,orbe,brevis,ga,cesarea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
