Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,ser,canal,paraguay,provision,total,almagro,gases,aponevrose,obliqua,amazonas,cabrera,gotha,bolivar,carlos,mayer,plasma,anemia,fritz,tanger,hay,tor,formal,efta,india,legal,kino,relevante
1,gran,pleno,tobias,dais,rs,cortez,turin,alfonso,osiris,negro,ideas,duch,orinoco,concession,parte,hygiene,lepra,firmen,ph,pasa,liga,bir,control,auto,reagan,cultural,ias
2,fo,mage,banco,civil,vn,pizarro,iris,vena,minas,jacobi,mehemed,firma,garibaldi,josef,tier,interesses,-,-,-,dab,fuer,chinas,regional,adorno,-,media,autos
3,general,qual,pla,crisis,criminal,peregrin,vocal,processus,grande,chile,ius,-,bravo,tumor,-,-,-,-,-,virus,-,-,-,industrial,-,-,-
4,america,africa,laban,galenus,tirol,bade,prosa,pestalozzi,civitas,anden,-,-,protoplasma,factor,-,-,-,-,-,-,-,-,-,-,-,-,-
5,fe,oriente,sara,hize,iten,rubens,lin,notar,ido,maynas,-,-,wellington,journ,-,-,-,-,-,-,-,-,-,-,-,-,-
6,ar,regente,agar,ror,dohna,gas,pera,af,buenos,ricardo,-,-,origenes,social,-,-,-,-,-,-,-,-,-,-,-,-,-
7,na,delos,haran,placidia,tribunal,nitro,pharm,normale,ayres,syphilis,-,-,modo,lorenzo,-,-,-,-,-,-,-,-,-,-,-,-,-
8,res,eile,almada,palermo,laudon,extension,domingo,petalis,quina,rafael,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,ver,golfo,villa,auditor,heimat,disp,menon,fran,loxa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,tan,clara,hercules,rinden,lee,eugenio,mexico,cola,dos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,sol,hai,museo,delta,mendoza,santa,baco,trachea,francisco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,lu,paz,nathan,ninive,gene,rio,principe,cortes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,fer,hallen,dosis,dominante,curio,madera,local,anti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,cl,acido,urias,ib,coimbra,central,nervosa,patrimonial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,mu,leon,reflexion,falten,ka,fabia,arteria,natural,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,ue,superior,platina,dion,antonio,fu,caracas,rhin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,mal,catharina,conde,fus,bevern,-,profunda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,iz,sebastian,pol,campo,zittau,-,cruz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,ven,mantua,numero,trab,nadasti,-,angina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,europa,gregor,scena,tyrol,ra,-,dia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,zo,clima,seneca,ba,volumen,-,cuba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,nes,ca,bagage,mengs,horizonte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,autor,madrid,moyses,schweidnitz,wedel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,pastor,lama,cie,mando,liber,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,ir,victoria,job,normal,mathias,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,van,toledo,nee,exemplar,gibraltar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,sale,lope,arte,-,diplom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,mo,cir,josepha,-,facen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,utrecht,baptista,humor,-,muer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
