Unnamed: 0,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,ser,vena,mil,rama,prior,olivieri,nervosa,doi,peccatum,colera,sier,pongo,cond,nucleo,modesto,doc,terapia,aires,idealismo,sintomatologia,plasma,biologico,panorama,-,-,cliente,ansia
1,gran,arteria,ricardo,palestina,historia,commento,nervoso,mandante,cortez,mucosa,cloruro,protestante,inserto,supr,mediana,nias,buenos,arturo,centenario,biol,prec,castellani,-,-,-,registra,educativo
2,fo,medica,fag,tenia,diplom,vestigio,chirurgica,depositario,almirante,luisa,aque,zon,masa,debia,formazioni,sodio,disp,clara,virus,agar,testamentaria,social,-,-,-,-,ced
3,final,membrana,auto,costantino,poro,histor,tessuto,vno,merced,lario,ganglio,sifilide,dela,cerebrale,sita,degenerazione,-,beri,sindrome,anestesia,mgr,cultivar,-,-,-,-,garante
4,don,massa,gratia,agricultura,fresco,dicit,morbosa,negotiorum,quier,cloro,fumaria,exercito,antonelli,interrogatorio,reclamo,sperimentali,-,ida,journ,provoca,guardava,trad,-,-,-,-,-
5,ca,acido,libras,pirro,gozo,distintivo,prencipi,deue,mandamos,fasci,wellington,troya,valga,lobo,suicidio,reazioni,-,-,colesterina,vitamina,anti,-,-,-,-,-,-
6,fe,museo,populi,numerosi,penas,magnesia,dolorosa,carbon,asy,adversus,barcelona,-,quatro,adulto,lias,gelatina,-,-,epitelio,anemia,proteine,-,-,-,-,-,-
7,ro,nitro,litteris,servia,damasco,idrogeno,morboso,donatario,interino,-,gerona,-,braza,-,ayala,códice,-,-,cavia,metabolismo,gamma,-,-,-,-,-,-
8,ir,sali,almada,moravia,artista,emetico,superiormente,zodiaco,agrario,-,alabastro,-,lanza,-,nuclei,protoplasma,-,-,veterinaria,gastrica,-,-,-,-,-,-,-
9,pa,cartesio,civitas,breslavia,baxo,dosi,ulcera,legatario,-,-,curci,-,testis,-,ista,med,-,-,-,imponente,-,-,-,-,-,-,-
10,ib,pressione,mediolani,aula,grandioso,consulto,previene,organismo,-,-,diciendo,-,manicomio,-,salari,intensa,-,-,-,endovenosa,-,-,-,-,-,-,-
11,na,diverso,contadi,primogenitura,puedan,romanae,iniezione,mosca,-,-,fab,-,delo,-,capitalista,polmonare,-,-,-,hera,-,-,-,-,-,-,-
12,res,microscopio,indicio,principiar,ducados,epatica,succo,mosto,-,-,casta,-,sperimentale,-,-,alfredo,-,-,-,-,-,-,-,-,-,-,-
13,mo,elemento,denarios,notorio,ministros,venereo,tart,miseno,-,-,firme,-,diagnosi,-,-,mayer,-,-,-,-,-,-,-,-,-,-,-
14,ver,simulacro,mota,difpenfar,dias,nuncio,jacobi,clinica,-,-,legislatura,-,forzoso,-,-,intenso,-,-,-,-,-,-,-,-,-,-,-
15,mar,computo,reparti,borbon,obligacion,casimiro,canaria,rosario,-,-,libia,-,scripto,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,parte,relativamente,redentor,alemana,nava,savonarola,tarso,aristarco,-,-,garibaldi,-,tubercolosi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,tan,tenga,fundo,czar,causas,etica,malva,castra,-,-,silano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,sol,chimica,aliqua,superior,entusiasmo,andres,curativo,armario,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,fer,relativa,volumus,macario,termino,morales,diarrea,conrado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,villa,restante,romanorum,anastasio,hacer,rodrigo,caustico,millia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,po,pesa,conf,ferrando,tengan,velazquez,orificio,consules,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,san,impulso,plures,calcedonia,procesos,ribera,membranosa,hostium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,va,trementina,organo,notoria,asilo,dario,membranoso,castris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,antonio,soluzione,fecundo,ager,imita,anselmo,orliens,desault,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,grande,indica,quc,elipando,dichas,murillo,cataplasma,sutura,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,ra,concordato,auri,primitivo,robusto,pomponio,laudano,girona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,santa,anatomia,remedio,sacrilego,posteriormente,berruguete,separa,bulla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,fin,sostanze,mora,patrono,justicia,palencia,prominente,multe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,ba,olanda,celo,fiumara,velasquez,aranjuez,reumatismo,jacobo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,modo,tirano,arbitro,stiria,brillante,carie,coito,antigono,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,han,resistente,aliquis,difpone,mengs,abelardo,carnosa,resina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,mu,ola,bonum,sigg,vega,berna,tigre,fenicia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,mal,struttura,zone,mantenga,jonico,naturalista,portante,perseo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,real,vasto,academia,avia,privativa,celso,quina,calcio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,pot,liquido,salamanca,silla,parnaso,fistola,lautrech,arato,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,fon,lolo,dicta,bos,ceremonia,mostrando,perniciosa,florez,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,arte,urina,pino,sonora,rustico,alcantara,molesta,tessuti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,fines,balsamo,notari,cantar,elto,orsi,paste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,amor,assi,limo,cervi,dos,martinez,nou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,lima,resiste,giornale,falta,poesía,traversa,vasco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,qual,significa,purga,bestia,sarmiento,jaen,monopolio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,sus,moro,ej,armonía,cosas,xerez,angina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,tres,contenga,discreto,prurito,capitulo,sendo,sos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,nes,africa,trigesimo,duplo,conventus,ovest,tifo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,principe,dose,coa,topo,siempre,conc,nocivo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,dia,garda,artico,ennio,tambien,firmar,contagiosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,numero,milla,alvarez,alternativamente,poesías,osio,erisipela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
