Idioma_A,Idioma_B,Promedio,Max_periodo,Fecha_Max,Min_periodo,Fecha_Min,Promedio_log,Max_periodo_log,Fecha_Max_log,Min_periodo_log,Fecha_Min_log
EN,FR,0.0329,0.1214,1985-1990,-0.0098,1945-1950,0.0319,0.1146,1985-1990,-0.0099,1945-1950
EN,GE,0.0074,0.3895,1995-2000,-0.1205,1970-1975,0.0026,0.3289,1995-2000,-0.1284,1970-1975
EN,IT,0.006,0.1358,1910-1915,-0.2191,1915-1920,0.0036,0.1273,1910-1915,-0.2473,1915-1920
EN,SP,0.0367,0.2568,1900-1905,-0.0437,1915-1920,0.0343,0.2286,1900-1905,-0.0447,1915-1920
FR,EN,0.0093,0.0684,1965-1970,-0.0746,2000-2005,0.0087,0.0661,1965-1970,-0.0775,2000-2005
FR,GE,0.0387,0.1794,1905-1910,-0.1395,1900-1905,0.036,0.165,1905-1910,-0.1503,1900-1905
FR,IT,0.0203,0.1674,1990-1995,-0.2663,1980-1985,0.0152,0.1548,1990-1995,-0.3096,1980-1985
FR,SP,0.003,0.1967,1915-1920,-0.1256,1910-1915,0.0003,0.1795,1915-1920,-0.1342,1910-1915
GE,EN,-0.0141,0.0499,1900-1905,-0.0612,1965-1970,-0.0147,0.0487,1900-1905,-0.0631,1965-1970
GE,FR,0.0041,0.1629,1935-1940,-0.12,1920-1925,0.0022,0.151,1935-1940,-0.1278,1920-1925
GE,IT,-0.0321,0.4005,1920-1925,-0.3275,1905-1910,-0.0483,0.3369,1920-1925,-0.3967,1905-1910
GE,SP,0.05,0.5365,1935-1940,-0.2452,1945-1950,0.0233,0.4295,1935-1940,-0.2814,1945-1950
IT,EN,0.0057,0.1732,1900-1905,-0.1057,1965-1970,0.0036,0.1597,1900-1905,-0.1118,1965-1970
IT,FR,-0.003,0.0476,1905-1910,-0.0588,1960-1965,-0.0034,0.0465,1905-1910,-0.0606,1960-1965
IT,GE,0.0272,0.19,1990-1995,-0.1467,2000-2005,0.0236,0.1739,1990-1995,-0.1587,2000-2005
IT,SP,0.015,0.1477,1935-1940,-0.0769,1965-1970,0.0131,0.1378,1935-1940,-0.08,1965-1970
SP,EN,0.0153,0.1294,1910-1915,-0.0795,2000-2005,0.0138,0.1217,1910-1915,-0.0828,2000-2005
SP,FR,-0.01,0.0729,1945-1950,-0.1497,1900-1905,-0.0116,0.0703,1945-1950,-0.1621,1900-1905
SP,GE,0.0029,0.1619,1935-1940,-0.1253,1905-1910,0.0007,0.15,1935-1940,-0.1338,1905-1910
SP,IT,-0.0082,0.1031,1900-1905,-0.1086,1910-1915,-0.0091,0.0981,1900-1905,-0.1149,1910-1915
