IdiomaA,IdiomaB,Periodo,Retornos,Retornoslog
EN,FR,1900-1910,0.0476,0.0465
EN,FR,1910-1920,0.0826,0.0793
EN,FR,1920-1930,0.0235,0.0232
EN,FR,1930-1940,0.0351,0.0345
EN,FR,1940-1950,-0.0074,-0.0075
EN,FR,1950-1960,0.0696,0.0673
EN,FR,1960-1970,0.0301,0.0297
EN,FR,1970-1980,0.1363,0.1278
EN,FR,1980-1990,0.1191,0.1125
EN,FR,1990-2000,0.1401,0.1311
EN,GE,1900-1910,-0.0945,-0.0993
EN,GE,1910-1920,-0.0031,-0.0032
EN,GE,1920-1930,-0.0906,-0.0949
EN,GE,1930-1940,0.0872,0.0836
EN,GE,1940-1950,-0.081,-0.0844
EN,GE,1950-1960,-0.0571,-0.0588
EN,GE,1960-1970,-0.0964,-0.1014
EN,GE,1970-1980,-0.0921,-0.0967
EN,GE,1980-1990,-0.0016,-0.0016
EN,GE,1990-2000,0.478,0.3907
EN,IT,1900-1910,0.0696,0.0673
EN,IT,1910-1920,-0.113,-0.12
EN,IT,1920-1930,-0.05,-0.0513
EN,IT,1930-1940,0.1227,0.1158
EN,IT,1940-1950,0.0216,0.0213
EN,IT,1950-1960,0.0228,0.0225
EN,IT,1960-1970,0.0466,0.0455
EN,IT,1970-1980,-0.0266,-0.027
EN,IT,1980-1990,-0.0181,-0.0182
EN,IT,1990-2000,-0.0177,-0.0178
EN,SP,1900-1910,0.2681,0.2375
EN,SP,1910-1920,-0.0289,-0.0293
EN,SP,1920-1930,0.1327,0.1246
EN,SP,1930-1940,0.0552,0.0538
EN,SP,1940-1950,0.021,0.0208
EN,SP,1950-1960,0.0297,0.0292
EN,SP,1960-1970,0.181,0.1664
EN,SP,1970-1980,0.049,0.0478
EN,SP,1980-1990,0.0394,0.0387
EN,SP,1990-2000,0.0789,0.0759
FR,EN,1900-1910,0.0607,0.0589
FR,EN,1910-1920,0.0061,0.0061
FR,EN,1920-1930,0.0068,0.0067
FR,EN,1930-1940,0.0539,0.0525
FR,EN,1940-1950,-0.0046,-0.0046
FR,EN,1950-1960,0.0169,0.0167
FR,EN,1960-1970,0.1082,0.1027
FR,EN,1970-1980,-0.0308,-0.0313
FR,EN,1980-1990,0.0424,0.0415
FR,EN,1990-2000,0.0112,0.0112
FR,GE,1900-1910,0.0149,0.0147
FR,GE,1910-1920,0.0605,0.0588
FR,GE,1920-1930,0.1438,0.1343
FR,GE,1930-1940,0.0186,0.0185
FR,GE,1940-1950,0.08,0.077
FR,GE,1950-1960,0.1118,0.106
FR,GE,1960-1970,0.0871,0.0835
FR,GE,1970-1980,0.0364,0.0358
FR,GE,1980-1990,0.102,0.0971
FR,GE,1990-2000,0.0546,0.0532
FR,IT,1900-1910,-0.1087,-0.115
FR,IT,1910-1920,0.2238,0.202
FR,IT,1920-1930,-0.0946,-0.0994
FR,IT,1930-1940,0.0256,0.0253
FR,IT,1940-1950,-0.0004,-0.0004
FR,IT,1950-1960,0.0576,0.056
FR,IT,1960-1970,0.1779,0.1637
FR,IT,1970-1980,0.1819,0.1671
FR,IT,1980-1990,-0.2489,-0.2862
FR,IT,1990-2000,0.2749,0.2428
FR,SP,1900-1910,-0.229,-0.2601
FR,SP,1910-1920,0.0464,0.0453
FR,SP,1920-1930,-0.0146,-0.0147
FR,SP,1930-1940,0.082,0.0789
FR,SP,1940-1950,-0.0281,-0.0285
FR,SP,1950-1960,0.0123,0.0122
FR,SP,1960-1970,-0.036,-0.0366
FR,SP,1970-1980,0.1532,0.1425
FR,SP,1980-1990,0.0343,0.0337
FR,SP,1990-2000,0.058,0.0564
GE,EN,1900-1910,0.0412,0.0404
GE,EN,1910-1920,0.0067,0.0067
GE,EN,1920-1930,0.0243,0.024
GE,EN,1930-1940,0.0132,0.0131
GE,EN,1940-1950,-0.033,-0.0336
GE,EN,1950-1960,-0.0216,-0.0218
GE,EN,1960-1970,-0.0589,-0.0607
GE,EN,1970-1980,-0.0905,-0.0948
